iter	Passed	Remaining
0	129	129283
1	131	65737
2	134	44643
3	136	34022
4	138	27625
5	140	23343
6	143	20387
7	145	18094
8	148	16308
9	150	14885
10	153	13772
11	155	12828
12	158	12002
13	160	11282
14	162	10662
15	164	10119
16	167	9656
17	169	9236
18	171	8845
19	173	8493
20	175	8183
21	177	7898
22	179	7633
23	181	7392
24	183	7168
25	185	6956
26	187	6754
27	189	6567
28	191	6398
29	192	6238
30	194	6091
31	197	5962
32	199	5838
33	201	5712
34	202	5589
35	204	5481
36	206	5373
37	208	5270
38	209	5171
39	212	5088
40	213	5000
41	215	4917
42	217	4837
43	219	4762
44	220	4688
45	222	4622
46	224	4552
47	226	4499
48	228	4437
49	230	4378
50	232	4319
51	233	4262
52	235	4207
53	237	4153
54	238	4101
55	241	4062
56	242	4017
57	244	3972
58	246	3928
59	248	3889
60	249	3848
61	251	3807
62	253	3766
63	255	3735
64	257	3698
65	258	3663
66	260	3627
67	262	3594
68	263	3561
69	265	3529
70	267	3499
71	269	3474
72	271	3447
73	273	3416
74	274	3387
75	276	3361
76	278	3333
77	279	3307
78	281	3280
79	283	3255
80	285	3234
81	286	3210
82	287	3178
83	289	3156
84	291	3132
85	292	3111
86	294	3089
87	296	3067
88	297	3047
89	299	3031
90	301	3012
91	303	2992
92	304	2973
93	306	2953
94	307	2933
95	309	2915
96	311	2898
97	313	2884
98	315	2869
99	316	2851
100	318	2834
101	320	2818
102	321	2803
103	323	2790
104	325	2775
105	327	2760
106	329	2747
107	331	2734
108	332	2719
109	334	2705
110	335	2690
111	337	2675
112	338	2660
113	340	2646
114	341	2631
115	343	2620
116	345	2609
117	347	2596
118	349	2584
119	350	2571
120	352	2558
121	353	2545
122	355	2534
123	357	2523
124	359	2515
125	360	2503
126	362	2489
127	363	2477
128	365	2466
129	366	2454
130	368	2444
131	369	2432
132	371	2421
133	373	2412
134	375	2405
135	376	2394
136	378	2384
137	380	2374
138	381	2363
139	383	2354
140	384	2343
141	385	2330
142	387	2319
143	388	2312
144	390	2302
145	391	2292
146	393	2283
147	394	2273
148	396	2264
149	397	2254
150	399	2245
151	400	2235
152	402	2226
153	404	2221
154	405	2212
155	407	2205
156	409	2197
157	410	2188
158	412	2182
159	414	2176
160	415	2167
161	418	2164
162	420	2158
163	422	2151
164	423	2144
165	425	2135
166	426	2127
167	427	2119
168	429	2111
169	430	2103
170	432	2096
171	434	2090
172	435	2083
173	437	2075
174	438	2067
175	439	2059
176	441	2052
177	442	2045
178	444	2037
179	445	2030
180	447	2024
181	449	2018
182	450	2011
183	452	2005
184	453	1997
185	455	1991
186	456	1984
187	457	1977
188	459	1971
189	460	1964
190	462	1959
191	464	1953
192	465	1946
193	467	1940
194	468	1933
195	469	1927
196	471	1920
197	472	1914
198	474	1908
199	475	1902
200	477	1897
201	478	1892
202	480	1885
203	481	1880
204	483	1874
205	484	1868
206	486	1862
207	487	1856
208	489	1850
209	490	1844
210	491	1839
211	493	1835
212	495	1829
213	496	1823
214	497	1818
215	499	1812
216	500	1807
217	502	1801
218	503	1795
219	504	1790
220	507	1787
221	508	1783
222	510	1778
223	511	1773
224	513	1768
225	515	1763
226	516	1759
227	518	1754
228	519	1749
229	521	1745
230	523	1741
231	524	1737
232	526	1733
233	528	1728
234	529	1723
235	530	1718
236	532	1714
237	534	1709
238	535	1705
239	537	1701
240	539	1698
241	540	1694
242	542	1689
243	543	1685
244	545	1680
245	546	1676
246	548	1672
247	549	1667
248	551	1663
249	553	1660
250	555	1656
251	556	1652
252	558	1648
253	559	1644
254	561	1639
255	562	1635
256	564	1630
257	565	1626
258	567	1623
259	569	1619
260	570	1615
261	572	1611
262	573	1607
263	574	1602
264	576	1598
265	577	1594
266	579	1590
267	580	1586
268	582	1583
269	584	1580
270	586	1576
271	587	1573
272	589	1569
273	590	1564
274	592	1560
275	593	1556
276	594	1552
277	596	1549
278	598	1546
279	599	1542
280	601	1538
281	602	1534
282	604	1530
283	605	1526
284	607	1523
285	608	1519
286	610	1515
287	612	1513
288	613	1509
289	615	1506
290	616	1502
291	618	1498
292	619	1495
293	621	1491
294	622	1487
295	623	1484
296	625	1480
297	627	1477
298	628	1474
299	630	1470
300	631	1467
301	633	1464
302	635	1461
303	637	1459
304	638	1455
305	640	1452
306	642	1450
307	644	1447
308	645	1444
309	647	1440
310	648	1437
311	650	1433
312	651	1430
313	653	1426
314	654	1423
315	656	1420
316	657	1417
317	659	1414
318	660	1411
319	662	1407
320	663	1404
321	665	1401
322	666	1397
323	668	1394
324	669	1390
325	671	1389
326	673	1386
327	674	1382
328	676	1379
329	677	1376
330	679	1373
331	680	1369
332	682	1366
333	683	1362
334	684	1359
335	686	1357
336	688	1354
337	689	1350
338	691	1347
339	692	1344
340	694	1341
341	695	1338
342	697	1335
343	698	1332
344	699	1328
345	701	1326
346	703	1323
347	704	1320
348	706	1317
349	707	1314
350	709	1311
351	711	1308
352	712	1306
353	714	1303
354	715	1300
355	717	1297
356	718	1294
357	720	1291
358	721	1288
359	723	1285
360	724	1282
361	726	1279
362	727	1276
363	728	1273
364	730	1271
365	732	1268
366	733	1265
367	735	1262
368	736	1259
369	738	1256
370	739	1253
371	740	1250
372	742	1247
373	743	1244
374	745	1242
375	746	1239
376	748	1236
377	749	1234
378	751	1231
379	752	1228
380	754	1225
381	755	1222
382	757	1219
383	758	1216
384	760	1214
385	762	1212
386	763	1209
387	764	1206
388	766	1203
389	767	1200
390	769	1197
391	770	1195
392	771	1192
393	773	1189
394	774	1187
395	776	1184
396	778	1181
397	779	1179
398	780	1176
399	782	1173
400	783	1170
401	785	1167
402	786	1165
403	788	1162
404	789	1160
405	791	1158
406	793	1156
407	795	1154
408	797	1152
409	798	1149
410	800	1146
411	801	1144
412	803	1141
413	804	1138
414	806	1136
415	807	1134
416	809	1131
417	810	1128
418	812	1126
419	813	1123
420	814	1120
421	816	1117
422	817	1115
423	819	1112
424	820	1110
425	822	1108
426	823	1105
427	825	1102
428	826	1100
429	828	1097
430	829	1095
431	830	1092
432	832	1090
433	833	1087
434	835	1085
435	837	1083
436	839	1081
437	840	1078
438	842	1076
439	843	1073
440	845	1071
441	846	1068
442	847	1066
443	849	1063
444	851	1061
445	852	1059
446	854	1056
447	855	1054
448	857	1051
449	858	1049
450	859	1046
451	861	1044
452	862	1041
453	864	1039
